username;balances
dxGaEAii;11888,58946
MBlfbBGI;67823,68323
lAhWlEWZ;18651,58113
nuZweYtO;22073,20732
gbdSwiuY;34897,42800
RZNneNuP;83296,66452
YsscHXkp;31699,47749
RkLzkDun;2087,99700
HlQlnEYI;30605,55725
RqkZOFYe;16881,91749
NjCSRAfD;41163,5490
pHniJMQY;14874,49493
dOGIMzKR;10032,96189
HfMDmNLp;55683,79162
xPLKzCBl;79731,36952
AtwIxZHo;35479,33491
dxGaEAii;11888,24421
MBlfbBGI;67823,30780
lAhWlEWZ;18651,91330
nuZweYtO;22073,51533
gbdSwiuY;34897,94079
RZNneNuP;83296,49917
YsscHXkp;31699,32884
RkLzkDun;2087,69060
HlQlnEYI;30605,27426
RqkZOFYe;16881,82650
NjCSRAfD;41163,98560
pHniJMQY;14874,99124
dOGIMzKR;10032,77413
HfMDmNLp;55683,70123
xPLKzCBl;79731,45258
AtwIxZHo;35479,48118
dxGaEAii;11888,86462
MBlfbBGI;67823,1756
lAhWlEWZ;18651,6355
nuZweYtO;22073,783
gbdSwiuY;34897,58765
RZNneNuP;83296,55181
YsscHXkp;31699,81901
RkLzkDun;2087,36923
HlQlnEYI;30605,39669
RqkZOFYe;16881,11212
NjCSRAfD;41163,32760
pHniJMQY;14874,63999
dOGIMzKR;10032,49446
HfMDmNLp;55683,78169
xPLKzCBl;79731,45731
AtwIxZHo;35479,96353
dxGaEAii;11888,36068
MBlfbBGI;67823,58541
lAhWlEWZ;18651,42133
nuZweYtO;22073,52318
gbdSwiuY;34897,45717
RZNneNuP;83296,99599
YsscHXkp;31699,23673
RkLzkDun;2087,68295
HlQlnEYI;30605,39754
RqkZOFYe;16881,27631
NjCSRAfD;41163,35610
pHniJMQY;14874,97319
dOGIMzKR;10032,57536
HfMDmNLp;55683,3224
xPLKzCBl;79731,86160
AtwIxZHo;35479,18696
dxGaEAii;11888,91392
MBlfbBGI;67823,46064
lAhWlEWZ;18651,9031
nuZweYtO;22073,82353
gbdSwiuY;34897,10936
RZNneNuP;83296,47010
YsscHXkp;31699,32326
RkLzkDun;2087,71347
HlQlnEYI;30605,2165
RqkZOFYe;16881,57707
NjCSRAfD;41163,72125
pHniJMQY;14874,2424
dOGIMzKR;10032,25939
HfMDmNLp;55683,47788
xPLKzCBl;79731,25372
AtwIxZHo;35479,22945
dxGaEAii;11888,20482
MBlfbBGI;67823,81192
lAhWlEWZ;18651,53236
nuZweYtO;22073,12819
gbdSwiuY;34897,41787
RZNneNuP;83296,40581
YsscHXkp;31699,41730
RkLzkDun;2087,64231
HlQlnEYI;30605,6287
RqkZOFYe;16881,37237
